[2025-08-02 17:32:41] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:41] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:41] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:41] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:41] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:41] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:41] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:41] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] TCP | 192.168.0.115:52873 -> 20.42.65.85:443
[2025-08-02 17:32:42] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:42] TCP | 20.42.65.85:443 -> 192.168.0.115:52873
[2025-08-02 17:32:43] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:43] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:44] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:44] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:45] TCP | 192.168.0.115:52822 -> 104.26.7.247:443
[2025-08-02 17:32:45] TCP | 104.26.7.247:443 -> 192.168.0.115:52822
[2025-08-02 17:32:45] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:45] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:46] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:46] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:47] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:47] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:48] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:49] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:49] UDP | 192.168.0.115:63778 -> 192.168.0.1:53
[2025-08-02 17:32:49] UDP | 192.168.0.1:53 -> 192.168.0.115:63778
[2025-08-02 17:32:49] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:49] TCP | 192.168.0.115:52814 -> 104.26.6.247:443
[2025-08-02 17:32:49] TCP | 104.26.6.247:443 -> 192.168.0.115:52814
[2025-08-02 17:32:49] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:49] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:49] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:50] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:50] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:50] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:50] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:50] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:50] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
